Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p5.3s.(3P*).4s""","=""4P*""","=""5/2""","=""""","=""35.4967""","=""""","=""0.0005""","=""0.492""","=""  99                                                                                          ""","="""""
"=""2p5.3s.(3P*).4s""","=""4P*""","=""3/2""","=""""","=""35.5648""","=""""","=""0.0005""","=""0.0681""","=""  87                                           or  :    55  2p5.3s.(3P*<1>).4s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).4s""","=""4P*""","=""1/2""","=""""","=""35.6299""","=""""","=""0.0005""","=""0.0651""","=""  87                                           or  :    56  2p5.3s.(3P*<1>).4s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).4s""","=""2P*""","=""3/2""","=""""","=""35.7635""","=""""","=""0.0009""","=""0.134""","=""  86                                           or  :    52  2p5.3s.(3P*<2>).4s    2[2]*       ""","="""""
"=""2p5.3s.(3P*).4s""","=""2P*""","=""1/2""","=""""","=""35.7870""","=""""","=""0.0021""","=""0.023""","=""  62                                           or  :    53  2p5.3s.(3P*<0>).4s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""2P*""","=""1/2""","=""""","=""35.9844""","=""""","=""0.0009""","=""0.197""","=""  67                                           or  :    35  2p5.3s.(3P*<2>).3d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""2P*""","=""3/2""","=""""","=""36.0160""","=""""","=""0.0009""","=""0.032""","=""  44                                           or  :    40  2p5.3s.(3P*<2>).3d    2[2]*       ""","="""""
"=""2p5.3s.(1P*).4s""","=""2P*""","=""3/2""","=""""","=""36.0529""","=""""","=""0.0009""","=""0.037""","=""  89                                           or  :    89  2p5.3s.(1P*<1>).4s    2[1]*       ""","="""""
"=""2p5.3s.(1P*).4s""","=""2P*""","=""1/2""","=""""","=""36.1265""","=""""","=""0.0009""","=""0.074""","=""  68                                           or  :    68  2p5.3s.(1P*<1>).4s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""2D*""","=""3/2""","=""""","=""36.2145""","=""""","=""0.0021""","=""0.088""","=""  51                                           or  :    29  2p5.3s.(3P*<1>).3d    2[1]*       ""","="""""
